year,age,mortality_sex_ratio
1905,0,1.25197
1905,1,1.06614
1905,2,1.04056
1905,3,0.97136
1905,4,0.99385
1905,5,1.00114
1905,6,0.99197
1905,7,0.97565
1905,8,0.95781
1905,9,0.94105
1905,10,0.93904
1905,11,0.95273
1905,12,0.97338
1905,13,0.99535
1905,14,1.01505
1905,15,1.04617
1905,16,1.08478
1905,17,1.11344
1905,18,1.12678
1905,19,1.13251
1905,20,1.12772
1905,21,1.11636
1905,22,1.10771
1905,23,1.10735
1905,24,1.14167
1905,25,1.16127
1905,26,1.15127
1905,27,1.14949
1905,28,1.14745
1905,29,1.14923
1905,30,1.15460
1905,31,1.16438
1905,32,1.17038
1905,33,1.17330
1905,34,1.17299
1905,35,1.16917
1905,36,1.18142
1905,37,1.20792
1905,38,1.21713
1905,39,1.20098
1905,40,1.20333
1905,41,1.22540
1905,42,1.23953
1905,43,1.24402
1905,44,1.23910
1905,45,1.23793
1905,46,1.25357
1905,47,1.27771
1905,48,1.28725
1905,49,1.28271
1905,50,1.27589
1905,51,1.28502
1905,52,1.30175
1905,53,1.30870
1905,54,1.31074
1905,55,1.29819
1905,56,1.28665
1905,57,1.29793
1905,58,1.31161
1905,59,1.30912
1905,60,1.29182
1905,61,1.27037
1905,62,1.24744
1905,63,1.22927
1905,64,1.22215
1905,65,1.21933
1905,66,1.22170
1905,67,1.22043
1905,68,1.20591
1905,69,1.19941
1905,70,1.19494
1905,71,1.18333
1905,72,1.17460
1905,73,1.17698
1905,74,1.17602
1905,75,1.16546
1905,76,1.16022
1905,77,1.17048
1905,78,1.17455
1905,79,1.16668
1905,80,1.19290
1905,81,1.20248
1905,82,1.21528
1905,83,1.21958
1905,84,1.24456
1905,85,1.16544
1905,86,1.14841
1905,87,1.11652
1905,88,1.10015
1905,89,1.08424
1905,90,1.05943
1905,91,1.03852
1905,92,1.02077
1905,93,1.00203
1905,94,0.97039
1905,95,0.92345
1905,96,0.86489
1905,97,0.81004
1905,98,0.78889
1905,99,0.78781
1905,100,0.76778
1906,0,1.23314
1906,1,1.06194
1906,2,1.07973
